mode,n,time_ns,result
iter,141,2063,284
iter,141,2096,284
iter,141,2250,284
iter,141,2068,284
iter,141,1911,284
iter,141,1906,284
iter,141,1973,284
iter,141,1825,284
iter,141,2041,284
iter,141,1961,284
iter,141,1964,284
iter,141,2020,284
iter,141,2181,284
iter,141,2064,284
iter,141,2059,284
iter,141,2079,284
iter,141,2069,284
iter,141,2180,284
iter,141,2307,284
iter,141,2001,284
iter,141,2413,284
iter,141,1961,284
iter,141,2097,284
iter,141,2136,284
iter,141,1878,284
iter,141,2083,284
iter,141,2141,284
iter,141,1994,284
iter,141,2040,284
iter,141,2410,284
iter,141,2768,284
iter,141,2113,284
iter,141,2019,284
iter,141,2041,284
iter,141,2106,284
iter,141,2025,284
iter,141,2780,284
iter,141,2161,284
iter,141,2188,284
iter,141,2129,284
iter,141,1892,284
iter,141,2050,284
iter,141,2118,284
iter,141,2687,284
iter,141,2239,284
iter,141,2061,284
iter,141,2071,284
iter,141,2092,284
iter,141,2023,284
iter,141,1914,284
iter,141,2002,284
iter,141,3248,284
iter,141,2205,284
iter,141,2370,284
iter,141,1963,284
iter,141,1875,284
iter,141,1898,284
iter,141,2151,284
iter,141,2082,284
iter,141,2212,284
iter,141,1848,284
iter,141,2089,284
iter,141,1995,284
iter,141,2067,284
iter,161,2203,324
iter,161,1958,324
iter,161,2083,324
iter,161,2032,324
iter,161,1904,324
iter,161,2125,324
iter,161,2126,324
iter,161,2208,324
iter,161,2055,324
iter,161,2198,324
iter,161,2055,324
iter,161,2023,324
iter,161,2101,324
iter,161,2429,324
iter,161,2099,324
iter,161,2057,324
iter,161,2471,324
iter,161,1842,324
iter,161,2046,324
iter,161,2008,324
iter,161,2099,324
iter,161,1997,324
iter,161,2216,324
iter,161,2058,324
iter,161,2044,324
iter,161,2055,324
iter,161,2698,324
iter,161,2303,324
iter,161,2042,324
iter,161,2065,324
iter,161,2451,324
iter,161,2078,324
iter,161,2372,324
iter,161,2126,324
iter,161,2140,324
iter,161,2192,324
iter,161,2110,324
iter,161,2140,324
iter,161,2083,324
iter,161,2179,324
iter,161,1839,324
iter,161,2117,324
iter,161,2051,324
iter,161,2007,324
iter,161,2161,324
iter,161,2072,324
iter,161,2259,324
iter,161,2063,324
iter,161,2350,324
iter,161,2139,324
iter,161,2019,324
iter,161,2162,324
iter,161,2032,324
iter,161,2190,324
iter,161,2111,324
iter,161,2011,324
iter,161,1945,324
iter,161,2136,324
iter,161,2521,324
iter,161,2270,324
iter,161,2013,324
iter,161,1978,324
iter,161,2117,324
iter,161,2165,324
iter,161,2034,324
iter,161,2210,324
iter,161,2101,324
iter,161,1998,324
iter,161,2104,324
iter,161,2113,324
iter,161,2051,324
iter,161,1991,324
iter,161,2166,324
iter,161,15138,324
iter,161,2007,324
iter,161,2336,324
iter,161,2068,324
iter,161,2017,324
iter,161,1987,324
iter,161,2002,324
iter,161,1878,324
iter,161,2033,324
iter,161,2002,324
iter,161,2186,324
iter,161,1984,324
iter,161,2003,324
iter,161,1998,324
iter,161,2073,324
iter,161,2201,324
iter,161,2870,324
