mode,n,time_ns,result
iter,11,1696,89
iter,11,2251,89
iter,11,1884,89
iter,11,1745,89
iter,11,2024,89
iter,11,1771,89
iter,11,1770,89
iter,11,2162,89
iter,11,1837,89
iter,11,3313,89
iter,11,1978,89
iter,11,1958,89
iter,11,3256,89
iter,11,1682,89
iter,11,1995,89
iter,11,1719,89
iter,11,1728,89
iter,11,2245,89
iter,11,2496,89
iter,11,2318,89
iter,12,1922,144
iter,12,2610,144
iter,12,2611,144
iter,12,2395,144
iter,12,2609,144
iter,12,2290,144
iter,12,2893,144
iter,12,2613,144
iter,12,2714,144
iter,12,2207,144
iter,12,2097,144
iter,12,4604,144
iter,12,1881,144
iter,12,1824,144
iter,12,1974,144
iter,12,1699,144
iter,12,1988,144
iter,12,1832,144
iter,12,1555,144
iter,12,1660,144
iter,12,1694,144
iter,12,1611,144
iter,12,1819,144
iter,12,1830,144
iter,12,1876,144
iter,12,1556,144
iter,12,1620,144
iter,12,1616,144
iter,12,2091,144
iter,12,1965,144
iter,12,1758,144
iter,12,1673,144
iter,12,1568,144
iter,12,1750,144
iter,12,2142,144
iter,12,1652,144
iter,12,1645,144
iter,12,1648,144
iter,12,1733,144
iter,12,1679,144
iter,12,2232,144
iter,12,1718,144
iter,12,1728,144
iter,12,1481,144
iter,12,1781,144
iter,12,1581,144
iter,12,2536,144
iter,12,1897,144
iter,12,1876,144
iter,12,1661,144
iter,12,1611,144
iter,12,1811,144
iter,12,3460,144
iter,12,1930,144
iter,12,1856,144
iter,12,1863,144
iter,12,1660,144
iter,12,1617,144
iter,12,2158,144
iter,12,1857,144
iter,12,1883,144
iter,12,1530,144
iter,12,2485,144
iter,12,2604,144
iter,12,2204,144
iter,12,2400,144
iter,12,1865,144
iter,12,1731,144
iter,12,1750,144
iter,12,2057,144
iter,12,1973,144
iter,12,1822,144
iter,12,1639,144
iter,12,1632,144
iter,12,1783,144
iter,12,1638,144
iter,12,1895,144
iter,12,1962,144
iter,12,1698,144
iter,12,1856,144
iter,12,1889,144
iter,12,1641,144
iter,12,1883,144
iter,12,1993,144
iter,12,2363,144
iter,12,2096,144
iter,12,1837,144
iter,12,1709,144
iter,12,1801,144
iter,12,1819,144
iter,12,1642,144
iter,12,1787,144
iter,12,1520,144
iter,12,1605,144
iter,12,2418,144
iter,12,1755,144
iter,12,1702,144
iter,12,1702,144
iter,12,2013,144
iter,12,1800,144
iter,13,1869,233
iter,13,1973,233
iter,13,1697,233
iter,13,1758,233
iter,13,1716,233
iter,13,1616,233
iter,13,2004,233
iter,13,1946,233
iter,13,1681,233
iter,13,1733,233
iter,13,1746,233
iter,13,1693,233
iter,13,2241,233
iter,13,1936,233
iter,13,1647,233
iter,13,1780,233
iter,13,1678,233
iter,13,1597,233
iter,13,2349,233
iter,13,1780,233
iter,13,1777,233
iter,13,1613,233
iter,13,1580,233
iter,13,1566,233
iter,13,1676,233
iter,13,2174,233
iter,13,1740,233
iter,13,1721,233
iter,13,1605,233
iter,13,1726,233
iter,13,2897,233
iter,13,2371,233
iter,13,1905,233
iter,13,1654,233
iter,13,1672,233
iter,13,1642,233
iter,13,2501,233
iter,13,2005,233
iter,13,1678,233
iter,13,1704,233
iter,13,1608,233
iter,13,1794,233
iter,13,2538,233
iter,13,3143,233
iter,13,2809,233
iter,13,2181,233
iter,13,2369,233
iter,13,2230,233
iter,13,1779,233
iter,13,1647,233
iter,13,1603,233
iter,13,1616,233
iter,13,2151,233
iter,13,1931,233
iter,13,1771,233
iter,13,1602,233
iter,13,1763,233
iter,13,1855,233
iter,13,2003,233
iter,13,1814,233
iter,13,1705,233
iter,13,1756,233
iter,13,1675,233
iter,13,1651,233
iter,13,1697,233
iter,13,2162,233
iter,13,1710,233
iter,13,1687,233
iter,13,1683,233
iter,13,1816,233
iter,13,1622,233
iter,13,2017,233
iter,13,1682,233
iter,13,1953,233
iter,13,1670,233
iter,13,1647,233
iter,13,1601,233
iter,13,1997,233
iter,13,4125,233
iter,13,1808,233
iter,13,1764,233
iter,13,1614,233
iter,13,1767,233
iter,13,2370,233
iter,13,1932,233
iter,13,1774,233
iter,13,1664,233
iter,13,1551,233
iter,13,1728,233
iter,13,1907,233
iter,13,1948,233
iter,13,1730,233
iter,13,1703,233
iter,13,1752,233
iter,13,1534,233
iter,13,1591,233
iter,13,2143,233
iter,13,1796,233
iter,13,1600,233
iter,13,1649,233
iter,14,1665,377
iter,14,1878,377
iter,14,1905,377
iter,14,1967,377
iter,14,1801,377
iter,14,1682,377
iter,14,1762,377
iter,14,2059,377
iter,14,1884,377
iter,14,1728,377
iter,14,1694,377
iter,14,1739,377
iter,14,1826,377
iter,14,2221,377
iter,14,1793,377
iter,14,1758,377
iter,14,1533,377
iter,14,1715,377
iter,14,1578,377
iter,14,2507,377
iter,14,1791,377
iter,14,1784,377
iter,14,1686,377
iter,14,1997,377
iter,14,3488,377
iter,14,2271,377
iter,14,1966,377
iter,14,1762,377
iter,14,1951,377
iter,14,1712,377
iter,14,2216,377
iter,14,1831,377
iter,14,2511,377
iter,14,2009,377
iter,14,1733,377
iter,14,1666,377
iter,14,2117,377
iter,14,1913,377
iter,14,1863,377
iter,14,1668,377
iter,14,1757,377
iter,14,1675,377
iter,14,2833,377
iter,14,1924,377
iter,14,1852,377
iter,14,1610,377
iter,14,1655,377
iter,14,1727,377
iter,14,3478,377
iter,14,2079,377
iter,14,1930,377
iter,14,1920,377
iter,14,1714,377
iter,14,1944,377
iter,14,2081,377
iter,14,1910,377
iter,14,1764,377
iter,14,1727,377
iter,14,1949,377
iter,14,1753,377
iter,14,2261,377
iter,14,1860,377
iter,14,2141,377
iter,14,14275,377
iter,14,1666,377
iter,14,2168,377
iter,14,1648,377
iter,14,1816,377
iter,14,1778,377
iter,14,1633,377
iter,14,1649,377
iter,14,2222,377
iter,14,2235,377
iter,14,1880,377
iter,14,1810,377
iter,14,2348,377
iter,14,2084,377
iter,14,2067,377
iter,14,1871,377
iter,14,1825,377
iter,14,1910,377
iter,14,1670,377
iter,14,1977,377
iter,14,2081,377
iter,14,1898,377
iter,14,1659,377
iter,14,1592,377
iter,14,1626,377
iter,14,2355,377
iter,14,1893,377
iter,14,1829,377
iter,14,1876,377
iter,14,1726,377
iter,14,1828,377
iter,14,2258,377
